Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Action,Placement
9.81,-1.08672235776167,-0.1270832812176906,2.5074796590163806,0.3847702030319778,1.0,1.0
9.82,-0.969673371393069,-0.12648488454221607,2.358988017567702,0.21652791082077724,1.0,1.0
9.83,-0.8817200533627733,-0.13639582947976323,2.236418829995109,0.09005611874477099,1.0,1.0
9.84,-0.812379078895454,-0.14772796652156236,2.1428045342992026,-0.007988527405894128,1.0,1.0
9.85,-0.7528551161880819,-0.15748931229024085,2.0608308877023696,-0.09385011101712738,1.0,1.0
9.86,-0.6985728158683739,-0.16530586886362708,1.974064032652976,-0.1768109654523055,1.0,1.0
9.87,-0.650154070084019,-0.17016784185185777,1.8802540957957408,-0.2574512365466397,1.0,1.0
9.88,-0.6099087639550048,-0.1739452208657908,1.7886940322937883,-0.32996946594801946,1.0,1.0
9.89,-0.5786364730997885,-0.17951778990614753,1.7033944859543624,-0.39146492448038894,1.0,1.0
9.9,-0.5526502654999282,-0.18830674107717987,1.6242576361967989,-0.4459986329902263,1.0,1.0
9.91,-0.5269750039739127,-0.20081323159459782,1.5497183537304653,-0.4972255102393612,1.0,1.0
9.92,-0.4996561703432904,-0.21741873933901643,1.4777224063614087,-0.5493806208248329,1.0,1.0
9.93,-0.47287038712497304,-0.23664223253863612,1.4076828706056417,-0.6007235272410102,1.0,1.0
9.94,-0.4514151080297039,-0.2551177298939127,1.341164875753796,-0.646264975305076,1.0,1.0
9.95,-0.437955585119007,-0.27123704033950824,1.2813965009677992,-0.6821760025046394,1.0,1.0
9.96,-0.43249181839288275,-0.2857107599275488,1.23141018424825,-0.7080505067550518,1.0,1.0
9.97,-0.43240297665749855,-0.29891288658020587,1.192184131401794,-0.7248167213926509,1.0,1.0
9.98,-0.4363120130144005,-0.310955619674131,1.1648921893964044,-0.7325906755844787,1.0,1.0
9.99,-0.44333051010974744,-0.3224373558847989,1.1480670495221137,-0.7325326610009576,1.0,1.0
-0.00162,-0.42280806923601155,-0.36025228579556834,1.128698574550547,-0.7100230025947695,1.0,0.0
0.00845,-0.40335172918688567,-0.39753239867763246,1.1119712552569212,-0.6818279150035125,1.0,0.0
0.0185,-0.38389538913775945,-0.43378177328619166,1.0949504742213019,-0.6500359232339479,1.0,0.0
0.0286,-0.36355063173479213,-0.46893009801187757,1.07460379344309,-0.6169095960433975,1.0,0.0
0.0387,-0.34276166565490396,-0.5033341668724421,1.046304299456856,-0.5841893709374957,1.0,0.0
0.0488,-0.32286111692885705,-0.5372183786211884,1.0037523468678078,-0.5536737000053948,1.0,0.0
0.0589,-0.30495062307541504,-0.5705752532996723,0.94789679530839,-0.5249564811624488,1.0,0.0
0.0689,-0.2883905235998118,-0.6028512739830806,0.8867589323930904,-0.49855984566034667,1.0,0.0
0.079,-0.2711552269352892,-0.6332199052634137,0.8295338927043704,-0.47634026017176373,1.0,0.0
0.0891,-0.25081046953232167,-0.6599981564908995,0.7803888329785359,-0.46067632262106595,1.0,0.0
0.0992,-0.22706751575091105,-0.6829990287044523,0.7377684059830224,-0.452380237177548,1.0,0.0
0.109,-0.20113461319228132,-0.7011753277219915,0.7018682528791585,-0.45075582883895726,1.0,0.0
0.119,-0.1735625806158144,-0.7147888520890374,0.6719351551958279,-0.4552809663536031,1.0,0.0
0.129,-0.14363624205166775,-0.7255973920397963,0.6434693662224643,-0.46491138721810615,1.0,0.0
0.139,-0.1112711978512265,-0.7357701355228637,0.614416653765114,-0.4768623914234535,1.0,0.0
0.15,-0.07572561952403316,-0.74713967235688,0.5831140679524807,-0.4903797893838708,1.0,0.0
0.16,-0.03707502254516422,-0.7617629911137891,0.5458444267193142,-0.5041872602618934,1.0,0.0
0.17,0.0040631430244605716,-0.7801262890924142,0.5008469596136539,-0.517704658222311,1.0,0.0
0.18,0.04673827061623093,-0.8019303679550179,0.4482194872161641,-0.5298877207617425,1.0,0.0
0.19,0.09005750078953631,-0.8265394312339085,0.3887445741721606,-0.5403303457955413,1.0,0.0
0.2,0.13284368055053686,-0.8527940853703541,0.32358628539155104,-0.5472920958180735,1.0,0.0
