"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.570880625E0,1.702869558E0,1.039596468E1,3.172132033E0,1.100173932E1
2.580922500E0,1.933731958E0,9.889001731E0,4.024486506E0,1.085026111E1
2.590965500E0,1.489386399E0,8.652432564E0,5.872156366E0,1.056243729E1
2.601007500E0,9.312732462E-1,7.622170123E0,7.431855533E0,1.068631012E1
2.611050500E0,4.981654512E-1,7.656444747E0,7.188715442E0,1.051413072E1
2.621092500E0,9.626583955E-1,7.978393611E0,5.396378953E0,9.679999050E0
2.631135500E0,1.572401951E0,8.085430402E0,3.203476617E0,8.837923688E0
2.641177500E0,1.828654715E0,8.366942260E0,1.968931757E0,8.787854864E0
2.651220500E0,2.082933167E0,8.744680578E0,1.261513388E0,9.077415106E0
2.661262500E0,2.325263710E0,9.001734118E0,7.749583876E-1,9.329449553E0
2.671305500E0,2.466113780E0,9.027756566E0,2.760049327E-1,9.362600308E0
2.681347500E0,2.313862517E0,9.120175903E0,-2.049554336E-1,9.411353515E0
2.691390500E0,1.848664764E0,9.353464020E0,-4.150494003E-1,9.543433166E0
2.701432500E0,1.509818032E0,9.669590226E0,-6.322570896E-1,9.807154259E0
2.711475500E0,1.203909251E0,1.010182284E1,-1.140835628E0,1.023707615E1
2.721517500E0,8.576599440E-1,1.036793196E1,-1.393266944E0,1.049622725E1
2.731560500E0,4.811773163E-1,1.044662847E1,-1.334776077E0,1.054254263E1
2.741602500E0,-8.593857497E-2,1.051295227E1,-1.741424782E0,1.065655249E1
2.751645500E0,-9.238246974E-1,1.058868540E1,-3.048780341E0,1.105752107E1
2.761687500E0,-1.372745849E0,1.040975008E1,-3.634536864E0,1.111112893E1
2.771730500E0,-7.729060149E-1,1.013347148E1,-2.547477493E0,1.047732168E1
2.781772500E0,7.114574064E-2,9.713786990E0,-1.439831246E0,9.820174816E0
2.791815500E0,8.733100167E-1,9.370599870E0,-6.754247439E-1,9.435412598E0
2.801857500E0,1.214093639E0,9.299440425E0,-8.766613483E-2,9.378768626E0
2.811900500E0,1.192875847E0,9.356329740E0,6.146522196E-1,9.452071537E0
2.821942500E0,1.152528890E0,9.358827671E0,1.182837932E0,9.503424845E0
2.831985500E0,1.369405919E0,9.510200390E0,1.505525883E0,9.725522722E0
